key|中文
A90|冰弹伤害提高{0}，被冰弹攻击的敌人减少{4}的移动速度，持续{3}秒
A91|伤害提高{0}
A92|此阶段未解锁
A93|还需要加点{0}点解锁此阶段
A94|陨石术
A95|召唤陨石从天而降，造成{0}攻击得火焰伤害
A96|造成{0}攻击得火焰伤害
A97|巨型
A98|陨石术得范围增大{4}，天天同时伤害提高{0}，并使目标造成燃烧伤害持续{3}秒（每秒掉攻击的{6}得火焰伤害）
A99|伤害提高{0}
A100|多重召唤
A101|连续召唤{2}颗巨型陨石
A102|灼烧伤害
A103|陨石术击中得敌人受到火焰伤害提高{0}
A104|伤害提高{0}
A105|小行星分裂
A106|陨石术变为小型陨石并增加{2}个，每个增加{0}火焰伤害
A107|每个增加{0}火焰伤害
A108|燃烬
A109|分裂行星暴击率提高{5}，暴击伤害增加{0}
A110|暴击率提高{5}
A111|小行星分裂数量增加{2}个
A112|增加{2}个
A113|后置技能没有遗忘!
A114|移速
A115|法力值
A116|星群坠落
A117|冰咆哮
A118|召唤寒冰咆哮攻击持续{3}秒，造成{0}的冰霜伤害，并降低{4}移动速度持续{3}秒
A119|造成{0}的冰霜伤害
A120|扩大
A121|冰咆哮范围增大{4}
A122|冰咆哮对减速敌人造成得伤害增加{0}
A123|伤害增加{0}
A124|深寒
A125|破碎回响
A126|冰咆哮造成暴击时会额外触发{5}次
A127|额外触发{5}次
A128|冻结
A129|冰咆哮范围目标冰冻{3}秒，同时附加冰霜伤害，附加持续{2}秒冻伤效果，每层冻伤会提高{0}受到冰霜伤害，冻伤最高叠加{5}层
A130|提高{0}受到冰霜伤害
A131|凝霜
A132|冰咆哮结束时额外附加{5}层冻伤，并造成{0}冰霜伤害
A133|造成{0}冰霜伤害
A134|永冻
A135|冰咆哮对冰冻目标附加{0}伤害，并增加{5}层冻伤，冰咆哮持续时间增加{3}秒
A136|附加{0}伤害
A137|进修
A138|攻击提升{0}
A139|充能
A140|每隔{3}秒，回复{2}点魔力。
A141|迅捷如风
A142|移动速度提高{4}
A143|体魄强健
A144|生命上限提升{4}
A145|天赋技能
A146|魔法盾
A147|消耗魔力生成魔法盾，获得{4}免伤，持续{3}秒
A148|获得{4}免伤
A149|回蓝
A150|魔法盾存在期间，每秒恢复{2}点魔力
A151|每秒恢复{2}点魔力
A152|冷却
A153|降低魔法盾{4}冷却时间
A154|魔法领域
A155|降低周围敌人{4}移动速度，受到致命伤害时，免疫此次伤害并恢复{6}生命
A156|降低周围敌人{4}移动速度
A157|威压
A158|对减速得敌人造成伤害额外提高{0}
A159|额外提高{0}
A160|优雅
A161|减速得敌人对你照成得伤害降低{4}
A162|伤害降低{4}
A163|魔力上限
A164|魔力上限提高{3}点
A165|重击
A166|对生命高于{4}得敌人增加{0}伤害
A167|增加{0}伤害
A168|追击
A169|对生命低于{4}得敌人增加{0}伤害
A170|增加{0}伤害
A171|闪避
A172|闪避提高{4}
A173|老猎人
A174|对首领精英造成得伤害增加{0}
A175|伤害增加{0}
A176|汲取
A177|附近敌人被击败后，恢复自身{4}生命与{2}点能量
A178|恢复自身{4}生命与{2}点能量
A179|狂热
A180|获得{0}伤害加成，但是受到得伤害额外增加{4}
A181|最终伤害
A182|减速
A183|受到伤害增加
A184|受到伤害减少
A185|闪避
A186|火焰炸弹
A187|召唤一个火焰炸弹，对爆炸范围敌人造成{0}火焰伤害
A188|造成{0}火焰伤害
A189|引力
A190|火焰炸弹爆炸范围增加{4}，并可吸附附近敌人
A191|范围增加{4}
A192|爆破
A193|火焰炸弹额外爆炸{5}次
A194|火力覆盖
A195|额外召唤{2}个火焰炸弹
A196|爆裂
A197|火焰炸弹暴击时，有{4}概率造成{0}伤害
A198|造成{0}伤害
A199|王牌猎手
A200|Boss精英对你伤害降低{4}
A201|时间压缩
A202|冷却时间缩短{4}
A203|掌控
A204|魔力消耗降低{4}，同时魔力高于{6}，造成伤害提高{0}
A205|凝练
A206|使用血瓶生命回复翻倍，拾取生命球额外回复{4}
A207|额外回复{4}
A208|霜裂
A209|对范围内敌人发射{2}道射线，每道造成{0}冰霜伤害
A210|发射{2}道射线，造成{0}冰霜伤害
A211|穿透
A212|射线的伤害提高{0}
A213|分裂
A214|每次额外增加{2}条射线
A215|黑洞
A216|碎冰散射化为黑洞，朝前方移动，吸附敌人并发出{2}道射线
A217|发出{2}道射线
A218|烙印
A219|攻击附加冻伤伤害，冻伤伤害提高{0}，持续{3}秒，冻伤改为最多叠加{5}层
A220|冻伤伤害提高{0}
A221|冷却
A222|禁咒法师
A223|晋级禁咒法师，你拥有学习禁咒的资格，提高所有伤害{0}，降低{4}魔力损耗
A224|末日审判
A225|造成{0}火焰伤害，附加{3}秒{4}灼烧伤害
A226|造成{0}火焰伤害
A227|化为灰烬
A228|灼烧持续伤害额外增加{0}
A229|绝对零度
A230|造成{0}冰霜伤害，附加{2}层冻伤，冻伤改为最多叠加{5}层持续{3}秒
A231|造成{0}冰霜伤害
A232|深寒入骨
A233|冻伤伤害额外增加{0}
A234|火之子
A235|火焰伤害额外+{0}
A236|冰之子
A237|冰霜伤害额外+{0}
A238|药水大师
A239|药水冷却时间减少{4}
A240|
A241|
A242|
A243|
A244|
A245|
A246|
A247|
A248|
A249|
A250|
A251|
A252|
A253|
A254|
A255|
A256|
A257|
A258|
A259|
A260|
A261|
A262|
A263|
A264|
A265|
A266|
A267|
A268|
A269|
A270|
A271|
A272|
A273|
A274|
A275|
A276|
A277|
A278|
A279|
A280|
A281|
A282|
A283|
A284|
A285|
A286|
A287|
A288|
A289|
A290|
A291|
A292|
A293|
A294|
A295|
A296|
A297|
A298|
A299|
A300|
A301|
A302|
A303|
A304|
A305|
A306|
A307|
