key|没什么用就是看点位数量|怪物表key|怪物生成数量|增加进度值|Box类型(XG小怪 Box宝箱 SL首领)|血球掉落概率|血球恢复生命值(百分比)|能量球掉落概率|能量球恢复(百分比)|白掉落概率|蓝掉落概率|紫掉落概率|橙掉落概率|银掉落概率|绿掉落概率|粉掉落概率|金掉落概率|尝试掉落次数|描述
Map1|22|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|23|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|24|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|25|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|||1||Box|0.3|0.3|0.3|0.3|1||||||||1|宝箱
Map1||GeBuLinQiuZhang|1||SL|0.3||0.3|||||||||||Boss
Map2|1|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|2|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|3|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|4|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|5|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|6|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|7|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|8|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|9|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|10|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|11|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|12|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|13|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|14|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|15|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|16|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|17|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|18|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|19|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|20|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|21|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|22|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|23|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|24|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|25|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map2|||1||Box|0.3|0.3|0.3|0.3|1|||||||||
Map2||GeBuLinQiuZhang|1||SL|0.3||0.3|||||||||||
Map3|1|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|2|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|3|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|4|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|5|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|6|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|7|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|8|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|9|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|10|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|11|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|12|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|13|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|14|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|15|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|16|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|17|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|18|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|19|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|20|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|21|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|22|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|23|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|24|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|25|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|26|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|27|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|28|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|29|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|30|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|31|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|32|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|33|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|34|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|35|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|36|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|37|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|38|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|39|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|40|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|41|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|42|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map3|||1||Box|0.3|0.3|0.3|0.3|1|||||||||
Map3||GeBuLinQiuZhang|1||SL||||||||||||||
